Node,SIR
1,166.838
2,134.986
3,194.282
4,124.799
5,69.314
6,129.685
7,128.527
8,70.77
9,131.092
10,142.264
11,128.968
12,109.685
13,135.616
14,136.425
15,121.808
16,205.683
17,44.145
18,122.487
19,152.426
20,124.76
21,180.396
22,106.373
23,196.097
24,169.048
25,119.735
26,28.588
27,114.893
28,88.926
29,56.679
30,144.904
31,146.838
32,27.241
33,67.359
34,126.299
35,10.943
36,10.808
37,10.757
38,131.144
39,167.249
40,157.896
41,190.453
42,202.544
43,82.54
44,119.417
45,153.743
46,176.436
47,64.811
48,75.362
49,188.464
50,167.579
51,118.874
52,174.878
53,27.206
54,172.155
55,118.583
56,178.608
57,113.832
58,147.475
59,101.036
60,25.044
61,53.462
62,144.361
63,54.356
64,93.415
65,73.375
66,93.937
67,64.146
68,83.97
69,120.498
70,120.665
71,78.901
72,146.079
73,100.088
74,122.13
75,55.551
76,179.89
77,67.081
78,69.045
79,81.634
80,136.173
81,136.75
82,114.262
83,47.9
84,121.202
85,128.61
86,80.353
87,65.046
88,73.502
89,43.147
90,86.17
91,66.143
92,61.302
93,58.833
94,118.935
95,30.769
96,30.517
97,25.838
98,19.552
99,36.509
100,20.489
101,82.954
102,13.052
103,41.18
104,122.399
105,215.99
106,129.307
107,109.174
108,64.42
109,24.386
110,72.807
111,14.839
112,104.804
113,79.689
114,35.685
115,61.023
116,176.153
117,93.313
118,40.766
119,56.358
120,132.647
121,54.685
122,74.741
123,38.475
124,108.629
125,77.337
126,21.695
127,104.363
128,181.054
129,63.763
130,79.181
131,96.099
132,60.526
133,99.941
134,167.05
135,164.331
136,49.494
137,161.897
138,33.218
139,31.428
140,160.895
141,55.789
142,130.546
143,148.341
144,25.735
145,118.796
146,138.8
147,124.804
148,90.334
149,90.597
150,132.068
151,18.881
152,122.424
153,80.307
154,33.057
155,102.331
156,45.553
157,107.002
158,44.732
159,31.084
160,17.304
161,68.815
162,87.018
163,65.061
164,50.387
165,60.809
166,58.369
167,61.793
168,94.397
169,39.335
170,37.679
171,20.024
172,33.674
173,13.509
174,39.371
175,11.565
176,125.13
177,24.757
178,40.858
179,42.202
180,18.051
181,73.084
182,148.606
183,160.196
184,70.155
185,149.472
186,76.801
187,65.338
188,64.578
189,80.153
190,59.699
191,91.796
192,75.35
193,125.89
194,148.707
195,44.056
196,197.831
197,95.316
198,154.863
199,98.394
200,125.42
201,162.146
202,109.452
203,116.752
204,182.428
205,170.643
206,169.745
207,119.719
208,98.131
209,59.718
210,160.285
211,99.478
212,147.447
213,133.167
214,152.18
215,148.341
216,132.356
217,100.29
218,147.437
219,148.126
220,58.528
221,79.084
222,102.611
223,32.81
224,37.146
225,9.715
226,13.176
227,122.824
228,95.32
229,30.484
230,85.285
231,91.095
232,24.601
233,180.073
234,47.496
235,80.97
236,29.663
237,132.818
238,88.287
239,125.922
240,92.488
241,155.086
242,27.674
243,148.095
244,44.409
245,101.082
246,96.317
247,28.099
248,88.042
249,16.17
250,82.4
251,108.256
252,52.468
253,13.683
254,100.132
255,101.408
256,56.233
257,83.398
258,43.162
259,119.723
260,51.487
261,14.433
262,41.26
263,114.185
264,36.526
265,51.621
266,37.398
267,100.95
268,123.655
269,143.789
270,73.037
271,123.526
272,31.966
273,34.49
274,161.95
275,73.277
276,91.93
277,54.865
278,55.258
279,58.805
280,68.396
281,22.445
282,114.518
283,35.822
284,122.01
285,51.378
286,50.488
287,84.483
288,28.841
289,126.495
290,47.842
291,109.007
292,24.072
293,108.292
294,14.301
295,24.753
296,38.492
297,52.892
298,43.283
299,161.677
300,75.77
301,33.605
302,15.012
303,140.732
304,16.247
305,99.096
306,61.357
307,77.67
308,86.147
309,18.861
310,13.95
311,39.005
312,42.656
313,86.429
314,107.759
315,46.879
316,143.028
317,84.453
318,11.495
319,13.78
320,32.008
321,108.365
322,130.484
323,48.49
324,67.946
325,78.008
326,21.601
327,146.623
328,71.578
329,128.915
330,71.837
331,132.59
332,180.437
333,195.539
334,75.01
335,136.54
336,84.135
337,85.52
338,82.247
339,98.628
340,103.827
341,136.931
342,13.884
343,45.118
344,100.887
345,13.481
346,70.202
347,52.002
348,40.632
349,63.006
350,28.655
351,103.933
352,71.076
353,79.353
354,178.374
355,158.459
356,145.631
357,62.435
358,102.908
359,36.005
360,51.001
361,122.99
362,97.637
363,88.21
364,89.873
365,59.907
366,33.839
367,129.481
368,124.793
369,65.755
370,27.145
371,97.086
372,103.779
373,87.06
374,16.364
375,36.819
376,91.262
377,56.92
378,176.612
379,31.283
380,65.14
381,136.257
382,104.904
383,103.947
384,129.317
385,95.193
386,101.682
387,91.751
388,67.754
389,149.374
390,162.068
391,54.676
392,100.396
393,133.735
394,29.392
395,43.169
396,154.478
397,52.935
398,58.939
399,101.899
400,100.132
401,112.786
402,58.353
403,49.607
404,114.331
405,45.593
406,19.731
407,72.294
408,50.386
409,108.818
410,125.692
411,51.903
412,76.529
413,120.574
414,73.496
415,119.837
416,78.654
417,36.163
418,61.054
419,36.248
420,112.944
421,22.455
422,46.23
423,47.323
424,13.088
425,70.358
426,72.978
427,54.97
428,29.872
429,137.808
430,65.889
431,85.379
432,37.915
433,54.647
434,158.482
435,55.882
436,38.022
437,85.288
438,97.695
439,140.262
440,30.51
441,74.733
442,31.176
443,90.242
444,76.365
445,56.109
446,149.307
447,54.489
448,26.418
449,13.18
450,12.59
451,50.829
452,121.823
453,39.784
454,113.833
455,61.548
456,54.306
457,76.843
458,74.51
459,36.639
460,96.375
461,25.129
462,32.07
463,12.83
464,52.389
465,31.46
466,107.449
467,112.725
468,141.455
469,23.884
470,99.808
471,38.048
472,99.11
473,37.128
474,52.694
475,56.803
476,49.305
477,44.023
478,18.631
479,39.341
480,45.995
481,72.165
482,27.396
483,76.162
484,74.012
485,56.091
486,45.948
487,43.884
488,15.124
489,77.876
490,21.985
491,31.385
492,26.715
493,9.938
494,13.696
495,76.119
496,10.565
497,26.817
498,13.823
499,30.481
500,75.458
501,72.94
502,5.127
503,99.542
504,157.48
505,75.37
506,29.59
507,71.436
508,40.467
509,35.113
510,55.989
511,31.694
512,62.505
513,57.889
514,6.506
515,38.572
516,6.953
517,26.23
518,76.349
519,7.314
520,47.338
521,45.745
522,25.0
523,57.291
524,33.651
525,14.453
526,9.346
527,25.946
528,29.941
529,19.256
530,13.731
531,12.82
532,132.999
533,21.973
534,32.687
535,23.822
536,22.164
537,16.33
538,52.142
539,23.777
540,43.634
541,39.452
542,109.506
543,117.159
544,17.785
545,102.88
546,22.008
547,23.325
548,22.567
549,96.629
550,9.772
551,40.642
552,148.302
553,40.822
554,95.087
555,56.675
556,26.508
557,35.582
558,50.372
559,25.989
560,18.798
561,14.22
562,79.51
563,51.491
564,120.363
565,53.25
566,35.728
567,39.764
568,96.495
569,58.533
570,16.845
571,102.222
572,42.198
573,133.799
574,37.318
575,8.212
576,18.389
577,19.485
578,142.123
579,26.187
580,14.979
581,42.557
582,16.156
583,11.803
584,93.209
585,117.464
586,67.813
587,19.25
588,124.793
589,20.034
590,117.915
591,131.323
592,89.307
593,53.707
594,106.637
595,53.557
596,49.458
597,19.179
598,72.436
599,77.913
600,47.246
601,37.222
602,38.712
603,63.503
604,46.561
605,16.575
606,31.766
607,52.452
608,28.991
609,14.67
610,33.179
611,30.211
612,41.891
613,16.349
614,35.845
615,7.589
616,5.881
617,28.818
618,8.359
619,5.04
620,15.898
621,30.393
622,33.29
623,29.313
624,31.391
625,36.865
626,10.017
627,6.331
628,4.519
629,51.289
630,22.005
631,21.012
632,43.951
633,76.969
634,21.253
635,3.39
636,16.914
637,8.129
638,41.254
639,8.735
640,28.642
641,63.092
642,75.488
643,48.744
644,17.078
645,33.673
646,38.099
647,59.066
648,83.164
649,78.605
650,85.591
651,25.494
652,29.54
653,10.948
654,83.622
655,22.175
656,62.337
657,43.155
658,38.561
659,47.292
660,105.614
661,48.249
662,71.11
663,67.215
664,18.363
665,11.44
666,32.69
667,6.657
668,41.493
669,30.117
670,10.686
671,48.512
672,42.879
673,16.026
674,9.073
675,35.566
676,28.521
677,78.978
678,30.562
679,16.551
680,45.38
681,17.398
682,14.497
683,8.11
684,5.86
685,11.899
686,22.865
687,95.582
688,48.233
689,22.782
690,10.003
691,73.303
692,71.692
693,41.4
694,47.078
695,91.703
696,44.961
697,35.307
698,104.071
699,39.779
700,36.663
701,31.339
702,35.826
703,22.445
704,42.496
705,64.93
706,44.196
707,51.153
708,28.783
709,65.227
710,33.49
711,79.555
712,24.964
713,23.922
714,13.746
715,46.808
716,8.784
717,6.576
718,21.46
719,34.529
720,36.762
721,43.048
722,13.867
723,37.491
724,107.089
725,116.346
726,126.545
727,19.184
728,19.46
729,106.47
730,114.23
731,23.984
732,6.744
733,4.38
734,14.119
735,16.96
736,49.487
737,27.511
738,11.863
739,22.176
740,9.482
741,34.721
742,35.538
743,64.803
744,56.939
745,54.992
746,51.795
747,50.762
748,58.758
749,28.92
750,47.598
751,3.176
752,17.359
753,19.788
754,11.175
755,17.633
756,113.829
757,38.369
758,2.019
759,1.233
760,5.074
761,36.321
762,20.492
763,15.458
764,13.269
765,42.881
766,22.16
767,48.12
768,9.612
769,61.895
770,32.183
771,11.853
772,37.436
773,20.109
774,15.722
775,98.22
776,10.222
777,27.603
778,14.008
779,16.465
780,97.371
781,45.058
782,9.235
783,52.393
784,64.436
785,10.708
786,74.179
787,25.436
788,90.951
789,10.227
790,44.589
791,16.8
792,54.612
793,28.308
794,23.969
795,27.546
796,34.653
797,23.308
798,30.715
799,12.281
800,13.441
801,19.829
802,30.167
803,9.385
804,10.126
805,2.939
806,23.823
807,13.261
808,29.884
809,54.779
810,28.216
811,34.593
812,28.909
813,24.533
814,14.603
815,23.53
816,41.044
817,30.404
818,14.583
819,40.387
820,13.297
821,34.252
822,27.557
823,10.301
824,43.482
825,19.603
826,20.075
827,39.719
828,2.801
829,27.215
830,12.523
831,28.374
832,5.458
833,54.08
834,40.761
835,14.353
836,51.857
837,17.614
838,31.159
839,16.239
840,32.051
841,12.206
842,7.05
843,5.245
844,19.406
845,5.658
846,27.75
847,28.694
848,36.533
849,41.197
850,4.85
851,28.923
852,5.953
