Node,SIR
1,210.34
2,187.14
3,157.67
4,168.42
5,59.57
6,212.77
7,142.54
8,91.55
9,125.48
10,229.07
11,75.29
12,47.24
13,73.71
14,154.36
15,98.03
16,176.53
17,119.95
18,121.19
19,74.68
20,177.98
21,99.91
22,105.59
23,107.16
24,206.81
25,74.42
26,85.7
27,179.55
28,88.22
29,123.75
30,83.67
31,48.85
32,21.39
33,62.42
34,232.03
35,88.22
36,125.3
37,125.45
38,88.79
39,33.68
40,32.12
41,84.11
42,27.37
43,211.69
44,230.21
45,93.02
46,229.48
47,246.11
48,88.22
49,203.35
50,181.08
51,206.29
52,244.69
53,187.05
54,207.74
55,5.0
56,12.86
57,23.26
58,10.39
59,2.91
60,14.22
61,14.94
62,140.12
63,198.21
64,167.06
65,137.67
66,242.84
67,183.17
68,232.45
69,67.83
70,96.77
71,113.59
72,216.36
73,212.38
74,118.71
75,160.93
76,149.39
77,193.1
78,135.4
79,190.35
80,29.45
81,158.34
82,233.38
83,197.04
84,95.2
85,69.92
86,129.55
87,114.06
88,92.17
89,218.22
90,156.35
91,176.55
92,135.38
93,131.52
94,161.6
95,123.51
96,125.5
97,86.47
98,151.18
99,75.21
100,192.43
101,157.13
102,213.1
103,168.67
104,164.03
105,149.58
106,147.8
107,107.01
108,199.89
109,235.05
110,223.97
111,124.03
112,88.18
113,238.0
114,145.56
115,109.47
116,225.69
117,74.58
118,131.6
119,203.02
120,208.61
121,189.46
122,118.07
123,102.79
124,216.17
125,218.84
126,175.26
127,202.62
128,138.38
129,92.18
130,29.05
131,54.95
132,156.05
133,62.97
134,218.18
135,213.78
136,176.77
137,162.61
138,92.27
139,64.62
140,80.16
141,160.61
142,68.27
143,102.2
144,137.13
145,174.82
146,193.82
147,39.06
148,218.78
149,124.3
150,109.72
151,138.83
152,107.97
153,76.77
154,90.52
155,99.54
156,122.88
157,183.74
158,174.99
159,51.29
160,24.33
161,188.99
162,120.94
163,120.62
164,33.58
165,152.67
166,48.17
167,59.55
168,127.85
169,51.41
170,86.9
171,143.34
172,168.25
173,155.25
174,127.37
175,73.19
176,184.11
177,53.77
178,46.3
179,139.93
180,61.54
181,60.87
182,65.06
183,50.95
184,48.09
185,112.71
186,134.79
187,199.16
188,147.67
189,65.03
190,117.79
191,210.19
192,70.5
193,90.92
194,105.14
195,184.99
196,30.1
197,12.48
198,37.36
199,63.34
200,110.42
201,146.92
202,88.59
203,42.84
204,30.61
205,52.5
206,96.5
207,84.55
208,152.2
209,97.35
210,92.67
211,24.47
212,61.71
213,66.69
214,33.82
215,7.77
216,51.53
217,53.89
218,51.47
219,13.83
220,85.62
221,88.19
222,16.18
223,44.46
224,27.54
225,19.37
226,25.8
227,5.72
228,8.3
229,16.75
230,17.93
231,27.9
