Node,SIR
0,19.71
1,1.35
2,1.35
3,1.45
4,1.08
5,1.52
6,1.1
7,1.65
8,1.28
9,2.77
10,1.68
11,1.28
12,1.1
13,1.92
14,1.25
15,1.15
16,1.35
17,1.26
18,1.0
19,1.36
20,1.35
21,19.56
22,1.18
23,1.29
24,3.81
25,3.03
26,3.68
27,1.07
28,1.26
29,1.34
30,1.51
31,2.21
32,1.22
33,1.19
34,1.49
35,1.0
36,1.49
37,1.0
38,1.38
39,1.45
40,7.36
41,1.64
42,1.0
43,1.09
44,1.12
45,1.25
46,1.08
47,1.01
48,2.01
49,1.21
50,1.51
51,1.17
52,1.19
53,1.58
54,1.4
55,1.95
56,8.99
57,1.39
58,3.91
59,1.68
60,1.65
61,1.16
62,4.2
63,1.19
64,1.4
65,1.26
66,1.77
67,3.59
68,1.24
69,1.44
70,1.09
71,1.11
72,2.51
73,1.3
74,1.04
75,1.51
76,1.27
77,1.16
78,1.36
79,1.49
80,1.41
81,1.04
82,6.33
83,1.23
84,1.42
85,1.55
86,1.18
87,1.93
88,1.97
89,1.13
90,1.35
91,1.13
92,1.65
93,1.46
94,1.56
95,3.06
96,1.39
97,1.09
98,2.75
99,1.26
100,1.23
101,1.41
102,1.2
103,4.6
104,5.43
105,1.42
106,1.51
107,278.84
108,1.41
109,1.98
110,1.14
111,1.5
112,1.23
113,2.18
114,1.0
115,1.55
116,1.34
117,3.83
118,2.26
119,2.63
120,4.55
121,1.33
122,6.19
123,1.69
124,1.41
125,1.02
126,1.23
127,1.57
128,2.15
129,1.27
130,1.42
131,1.07
132,1.33
133,1.23
134,1.49
135,1.23
136,195.05
137,1.34
138,1.11
139,1.19
140,1.19
141,2.02
142,6.4
143,1.38
144,1.58
145,1.2
146,7.59
147,1.14
148,1.71
149,1.41
150,1.25
151,1.33
152,1.19
153,1.25
154,1.12
155,1.41
156,1.61
157,1.12
158,2.14
159,1.29
160,1.18
161,1.82
162,1.41
163,1.06
164,1.21
165,1.21
166,1.0
167,1.11
168,1.21
169,3.03
170,5.43
171,1.54
172,2.52
173,7.01
174,1.25
175,1.4
176,4.86
177,1.16
178,1.61
179,1.03
180,1.51
181,1.21
182,1.17
183,1.04
184,1.33
185,1.91
186,5.66
187,1.81
188,2.91
189,1.66
190,1.16
191,1.33
192,1.16
193,1.24
194,1.4
195,1.39
196,1.32
197,1.36
198,1.49
199,2.75
200,6.19
201,1.09
202,1.1
203,2.67
204,1.69
205,1.02
206,3.67
207,1.01
208,1.36
209,1.15
210,1.0
211,5.64
212,1.59
213,2.04
214,1.2
215,1.0
216,1.01
217,1.13
218,1.22
219,4.07
220,1.16
221,1.28
222,1.76
223,2.16
224,2.49
225,1.22
226,1.47
227,1.46
228,1.17
229,1.18
230,3.69
231,1.89
232,1.64
233,1.02
234,1.12
235,1.38
236,2.38
237,1.23
238,1.72
239,2.4
240,1.18
241,1.05
242,1.62
243,1.22
244,1.27
245,3.65
246,1.86
247,1.18
248,1.74
249,1.61
250,1.11
251,1.18
252,2.94
253,1.02
254,1.33
255,1.0
256,1.01
257,6.8
258,1.41
259,1.16
260,1.32
261,7.3
262,1.03
263,1.19
264,1.3
265,2.49
266,1.42
267,1.28
268,1.39
269,1.14
270,1.19
271,2.56
272,2.54
273,1.25
274,1.71
275,1.17
276,1.84
277,6.11
278,1.16
279,1.22
280,2.57
281,3.5
282,1.11
283,1.01
284,1.25
285,11.05
286,1.06
287,1.13
288,1.05
289,1.2
290,7.33
291,1.95
292,1.03
293,1.04
294,1.14
295,3.56
296,1.3
297,1.83
298,1.26
299,1.24
300,1.46
301,1.02
302,4.68
303,1.85
304,5.66
305,6.33
306,1.22
307,1.21
308,1.85
309,1.21
310,1.21
311,1.49
312,1.4
313,2.13
314,1.31
315,5.68
316,1.01
317,1.16
318,1.3
319,1.12
320,1.38
321,1.29
322,6.54
323,5.38
324,8.08
325,2.51
326,1.66
327,1.2
328,1.27
329,4.19
330,1.35
331,1.61
332,2.34
333,1.24
334,1.93
335,1.04
336,1.13
337,1.48
338,1.09
339,1.66
340,1.12
341,1.54
342,2.61
343,1.29
344,1.34
345,4.47
346,1.35
347,1.33
348,35.16
414,18.08
428,46.17
1684,44.42
1912,318.08
2814,1.0
2838,1.6
2885,1.9
3003,1.82
3173,1.96
3290,1.06
353,39.84
363,20.16
366,27.88
376,25.42
389,15.16
420,8.84
475,22.27
483,42.04
484,46.54
517,14.37
526,97.98
538,26.83
563,17.78
566,36.65
580,18.88
596,22.48
601,7.02
606,35.26
629,17.14
637,63.77
641,30.26
649,3.2
651,19.96
896,40.83
897,104.93
898,25.64
899,10.35
900,2.42
901,11.46
902,25.99
903,9.54
904,3.06
905,6.92
906,164.48
907,14.88
908,12.81
909,5.53
910,1.72
911,8.25
912,7.97
913,36.08
