Node,SIR
1,3.79
2,4.64
3,2.62
4,1.02
5,3.32
6,6.73
7,4.3
8,12.39
9,5.56
10,9.37
11,4.54
12,2.75
13,1.07
14,4.71
15,1.06
16,2.3
17,3.03
18,1.38
19,1.07
20,2.34
21,1.04
22,3.33
23,1.91
24,2.99
25,2.55
26,1.97
27,2.29
28,4.99
29,5.9
30,1.09
31,9.11
32,1.03
33,25.46
34,1.53
35,1.28
36,1.11
37,1.73
38,9.4
39,3.28
40,1.29
41,2.41
42,1.46
43,6.57
44,3.33
45,2.91
46,1.8
47,1.16
48,13.8
49,3.81
50,7.73
51,17.5
52,3.0
53,1.65
54,1.02
55,1.22
56,2.21
57,4.89
58,1.97
59,1.06
60,1.1
61,1.0
62,4.57
63,1.44
64,4.13
65,1.62
66,4.88
67,2.89
68,1.6
69,1.22
70,1.21
71,5.13
72,2.51
73,24.74
74,3.43
75,4.06
76,2.88
77,3.02
78,7.39
79,1.35
80,3.8
81,1.08
82,2.25
83,1.09
84,6.6
85,3.25
86,1.09
87,1.19
88,1.1
89,1.02
90,8.09
91,1.11
92,3.77
93,2.72
94,3.04
95,8.08
96,6.29
97,3.8
98,2.43
99,1.79
100,1.04
101,1.9
102,3.44
103,4.73
104,1.34
105,4.93
106,1.05
107,5.41
108,1.67
109,1.22
110,4.27
111,1.07
112,1.03
113,3.59
114,2.0
115,1.45
116,1.03
117,5.57
118,2.59
119,2.71
120,2.39
121,1.07
122,5.93
123,3.34
124,24.8
125,3.08
126,2.13
127,3.07
128,1.35
129,26.91
130,4.28
131,1.05
132,3.4
133,1.09
134,3.95
135,2.89
136,1.32
137,3.72
138,2.02
139,1.16
140,1.07
141,1.71
142,1.04
143,1.2
144,1.69
145,5.5
146,1.74
147,1.65
148,1.28
149,1.31
150,2.07
151,5.0
152,1.57
153,1.62
154,1.01
155,2.37
156,1.05
157,2.28
158,1.03
159,17.65
160,1.23
161,1.53
162,1.98
163,3.9
164,5.04
165,7.5
166,1.73
167,1.41
168,13.44
169,1.12
170,2.04
171,1.09
172,5.7
173,1.04
174,1.94
175,2.68
176,2.07
177,1.17
178,1.93
179,1.02
180,1.27
181,5.33
182,1.14
183,1.32
184,2.62
185,1.63
186,1.03
187,1.4
188,1.2
189,2.68
190,3.69
191,1.31
192,1.12
193,1.55
194,3.25
195,1.95
196,1.79
197,2.84
198,8.02
199,3.73
200,1.38
201,5.69
202,2.66
203,3.67
