Node,SIR
3466,5.7
937,6.74
5233,1.32
8579,3.31
10310,10.51
15931,4.38
17038,14.67
18720,2.53
19607,1.5
1854,3.67
4583,1.53
9572,19.39
10841,2.06
13056,6.3
14982,1.85
16310,16.0
19640,75.93
23855,3.01
24372,1.52
24814,7.22
5052,26.05
899,3.64
1796,2.35
2287,17.36
3096,12.82
3386,9.27
4472,8.9
5346,4.61
5740,7.19
6094,8.31
6376,2.06
9124,9.73
10235,28.14
10427,8.55
10597,5.21
15159,3.63
16148,8.01
16741,2.54
18235,2.52
18549,3.28
19297,11.45
20511,70.39
20595,15.83
20613,13.79
24371,14.34
24559,11.89
24731,4.52
25102,7.62
25271,37.47
25396,79.99
1658,2.06
4822,2.49
6864,1.82
7689,21.57
7926,8.14
10268,2.61
12971,3.09
18600,2.04
20421,1.56
20886,3.6
21048,2.59
22393,2.84
23186,4.19
23214,1.53
23298,1.85
23945,3.33
24939,2.02
339,47.98
624,35.83
3731,20.68
4743,71.4
5407,19.96
6610,129.74
6700,86.2
8045,34.57
9099,16.02
9639,52.7
9785,137.07
12141,6.98
15184,22.0
15784,40.0
18719,86.34
19870,53.86
20532,52.0
22527,50.18
23576,7.42
23577,12.94
23649,27.88
24199,7.21
24293,28.32
25201,36.88
10243,50.37
6774,102.54
8049,42.29
8053,6.0
8517,17.44
11964,26.55
15538,62.3
16694,15.25
18648,9.45
19423,140.26
21012,141.58
22457,78.39
22691,139.73
23452,92.72
16174,3.46
16470,1.06
17822,1.07
14265,17.02
392,3.61
2485,6.5
2949,22.68
3173,1.34
3441,2.04
3593,3.74
3853,4.1
3927,3.22
3937,9.18
3939,18.13
5107,9.37
5218,3.88
5230,2.03
6030,2.33
7350,17.5
7504,2.7
7601,1.61
8718,5.36
9522,6.15
11621,2.25
12498,1.58
12691,1.65
15251,1.7
16020,12.26
16261,4.73
17156,3.61
17626,3.64
18622,5.5
19059,2.13
19525,1.84
19738,13.4
20122,3.73
20432,2.73
21866,2.8
22074,8.39
23721,4.85
8916,5.62
13556,10.45
14485,36.27
8612,33.58
615,14.22
743,13.68
2076,4.06
4515,4.53
5773,5.15
9482,90.84
10822,5.02
11175,46.37
11604,2.01
14004,1.25
15003,140.23
15552,48.87
15814,6.92
16083,8.5
17932,7.25
20001,2.43
20100,13.13
23481,37.46
16258,8.09
1356,3.01
1727,7.56
2752,2.87
4125,12.54
6667,1.32
6825,1.31
10039,3.86
10351,1.55
11082,54.23
14123,4.17
16676,3.64
21194,3.17
10912,3.72
14534,2.9
17268,11.82
19783,1.1
21705,4.15
22836,1.3
2710,11.0
62,5.94
106,4.1
260,5.72
2959,7.61
3677,6.84
4708,1.59
5172,5.31
5541,2.84
5794,2.49
5807,7.39
6575,3.26
8458,1.49
10601,1.42
11401,1.31
13026,2.27
13205,1.73
13659,2.72
13989,7.46
14007,2.19
14009,2.58
14599,10.28
15301,1.38
18757,6.77
20934,2.1
21543,7.94
22184,5.58
23647,8.28
23708,10.2
25916,2.99
26023,1.79
26051,2.92
26100,1.82
214,9.81
5435,1.38
6512,55.59
10590,5.56
23559,1.79
1765,2.34
3032,11.09
5302,7.87
7383,10.52
7442,8.24
7768,8.59
13276,20.7
17266,9.18
22415,11.9
10794,1.19
7050,2.54
25850,1.28
10113,6.89
10657,1.19
12130,7.56
17172,2.39
4846,57.32
676,79.86
824,53.89
2133,42.96
2654,80.44
4748,61.01
5672,7.49
10549,12.77
12928,55.61
13220,36.65
14419,50.29
17330,48.97
17439,74.17
18487,68.11
20850,51.73
22779,49.1
23382,67.48
24029,14.31
11785,45.8
45,140.96
46,138.46
570,137.12
773,138.94
1653,140.64
2212,136.31
2741,139.27
2952,139.13
3372,144.64
4046,7.59
4164,136.35
4511,137.51
4513,137.62
5262,10.58
6179,138.91
6830,132.6
7956,138.96
8879,138.06
11241,139.98
11472,136.36
12365,143.39
12496,140.64
12678,17.32
12781,142.48
12851,134.46
14540,142.55
14807,134.19
15659,135.95
16159,10.33
17655,136.95
17692,146.44
18894,137.28
19961,135.45
20108,138.37
20562,140.8
20635,137.86
21281,139.68
21508,138.88
21847,145.65
22798,6.95
22887,136.02
23293,135.14
24955,140.96
25346,139.08
25758,138.78
934,25.67
5579,7.94
9755,80.41
10550,14.31
16032,44.16
17331,1.62
17603,9.43
20644,26.78
22497,11.53
23387,19.99
23907,24.56
24924,19.11
25080,40.56
12422,18.38
1339,11.38
3164,16.77
15580,10.41
16393,8.08
20478,44.69
20956,2.79
3890,32.75
5621,64.51
8824,7.63
11613,16.11
12306,14.0
12860,12.71
14547,10.11
18182,8.51
21707,5.69
24696,11.91
2661,13.85
7899,4.92
8067,6.39
8208,5.48
11132,9.37
11402,11.72
12980,9.43
13364,19.62
14969,8.21
16389,45.78
18109,7.1
18365,11.24
23038,43.41
24845,11.6
25379,3.99
13740,9.02
4550,12.62
4702,1.41
7264,13.26
13096,13.3
14128,5.99
19489,10.1
19527,4.35
19784,1.82
22476,12.01
25006,22.04
25486,2.93
26,4.25
1407,4.94
1488,16.59
8219,1.68
10762,13.64
11801,7.45
12665,1.15
12688,4.05
13142,16.22
15108,5.18
15321,2.4
20647,2.28
20827,11.43
20879,7.1
23614,6.54
3909,12.34
17979,1.71
3872,10.41
5109,2.44
7533,38.77
12409,3.89
20101,3.04
23096,2.33
8862,2.76
78,3.95
4877,2.53
7459,9.36
8254,2.46
12155,1.54
22598,9.42
24932,1.62
888,6.19
1520,8.06
6468,4.42
6627,1.67
7007,11.54
7712,16.24
10711,7.81
13614,9.79
14102,3.18
18517,5.87
18676,2.16
23351,7.59
23689,1.62
24114,1.17
2465,2.15
2592,1.39
3977,2.92
5055,1.09
5993,4.88
9265,1.3
12334,12.12
19890,1.85
20341,1.39
21560,1.32
17309,1.07
24833,5.27
543,4.52
1958,8.67
2193,3.11
3917,1.53
6858,1.72
8148,1.43
9092,1.73
12478,3.15
15366,1.69
18125,3.44
18398,1.53
19675,3.94
21806,2.34
23693,3.62
26196,2.87
10115,1.17
10134,1.1
23916,1.13
7893,7.27
593,3.45
5510,8.32
9360,13.8
12627,3.54
16778,2.73
18037,7.24
18051,3.23
13385,1.87
19578,1.23
12386,1.91
13333,1.9
23896,3.07
8978,3.96
9017,7.16
15170,2.02
15455,5.79
16589,2.05
2255,1.85
3056,2.14
6158,2.89
7307,6.93
7324,1.52
8365,4.92
9023,1.57
11444,1.58
12324,2.22
12472,4.71
13831,5.27
14746,8.71
16128,1.96
17075,6.15
18875,2.78
19900,1.59
20000,2.45
20806,2.4
21944,3.71
21968,4.62
23302,4.37
23665,3.61
23758,1.73
24722,2.12
12045,1.35
12287,1.51
14181,3.75
20257,3.66
21613,1.42
7510,1.2
197,2.88
8851,7.95
1343,4.84
2991,2.54
8299,1.21
15416,1.15
18088,2.42
25286,9.05
1254,8.48
3420,9.01
10130,18.65
2250,57.66
3243,7.01
7717,51.76
7985,14.92
11015,63.03
12085,62.46
13714,42.87
14767,62.4
16056,13.19
16994,25.55
17414,17.16
18971,64.69
19216,53.33
20534,52.91
21776,15.95
21860,12.62
25205,50.24
178,13.53
1248,3.07
1403,5.54
2368,4.29
2420,10.91
16210,14.65
18681,10.3
20641,1.23
24762,2.68
2307,10.73
6934,29.81
22423,16.12
231,88.53
345,78.45
1186,73.15
1234,48.66
1841,38.63
1997,73.41
2404,39.26
2450,16.32
2980,81.88
3409,83.3
5134,53.22
5578,52.68
8503,62.57
9341,44.73
9889,40.46
12503,51.82
13060,69.4
13597,75.02
16611,31.94
18208,32.7
18543,23.26
18866,117.64
22421,25.33
22937,71.76
23363,53.72
23628,56.91
25053,30.57
25251,22.89
2982,15.41
4036,8.15
4115,20.41
12938,14.03
13032,17.81
19215,13.06
21432,34.99
22726,14.3
22834,21.9
22966,9.03
23511,19.23
25528,22.03
25836,24.67
14376,9.54
8710,1.2
22483,1.77
1375,4.67
2846,10.58
5555,8.11
5564,4.81
5787,22.83
9721,4.3
10158,2.89
10942,12.28
13600,3.04
13929,33.47
21075,5.58
21316,3.02
22900,1.23
23637,6.01
23770,7.6
25143,4.41
25601,5.12
25980,5.3
17394,1.22
18924,4.55
3113,3.54
8312,2.19
10765,4.35
17538,1.86
25978,3.08
1172,3.3
5674,1.1
26194,1.28
375,1.24
1838,1.35
12733,3.44
7188,21.01
896,12.24
921,1.31
1508,8.43
6815,6.37
7209,19.98
8279,12.21
13008,26.91
18605,6.22
21158,1.36
4632,77.86
7844,40.61
11053,46.52
11148,47.94
13411,48.43
