Node,SIR
98,187.23
97,235.35
998,8.84
549,102.68
548,18.08
41,72.52
24,217.01
997,95.83
996,64.05
995,30.2
86,260.01
466,222.89
304,77.54
299,143.07
298,171.71
297,155.76
296,182.57
295,296.31
168,349.49
353,83.73
178,311.98
994,21.93
542,106.87
4,232.06
993,37.34
991,1.31
859,61.99
47,344.6
797,130.91
789,185.19
788,194.76
787,201.01
46,354.42
45,376.5
44,379.1
43,373.79
359,187.51
358,276.2
992,65.84
955,51.64
419,169.99
418,138.88
385,69.87
292,132.55
291,76.09
259,335.12
135,231.03
990,188.26
989,178.56
796,163.19
384,238.83
383,214.45
382,310.52
379,293.53
372,305.25
361,132.84
330,290.66
22,337.19
220,187.95
203,254.15
202,316.78
187,236.33
139,257.23
982,92.04
795,149.96
290,171.23
244,357.28
243,383.61
192,336.3
988,111.27
67,167.85
66,208.99
661,24.33
448,41.95
396,143.05
395,56.1
2,372.56
228,93.67
177,374.04
176,382.61
175,366.65
987,307.59
985,39.77
887,329.64
834,136.86
794,128.75
793,107.4
792,118.63
791,117.48
790,113.08
782,133.88
781,234.12
755,58.67
725,329.28
581,217.59
580,235.68
558,248.3
556,247.69
553,253.13
53,255.46
52,273.98
465,327.41
464,338.64
438,350.97
437,359.13
376,273.16
375,251.29
374,344.28
355,384.79
348,318.27
347,315.16
346,344.54
345,311.72
250,270.61
237,389.57
236,389.66
210,330.4
167,396.01
148,295.48
129,299.49
128,281.28
127,283.11
126,312.01
125,320.73
101,362.39
9,257.54
986,16.5
962,18.62
602,54.63
650,330.26
110,333.39
103,269.12
984,1.08
983,1.08
58,315.69
57,364.45
981,190.09
980,98.94
641,188.22
484,49.29
478,192.15
333,21.06
327,41.05
280,165.95
197,128.9
891,112.41
890,124.37
76,196.16
75,200.72
605,172.36
453,124.67
277,307.56
254,240.63
253,260.28
252,272.36
251,229.44
155,96.4
136,362.75
123,271.67
122,322.18
520,252.79
979,1.36
978,1.3
977,1.12
96,176.72
95,215.61
89,64.18
976,151.8
606,151.12
74,78.57
73,45.12
72,39.24
25,307.15
138,73.83
124,142.77
108,243.83
107,193.38
106,215.51
102,292.33
975,42.45
64,215.59
65,249.45
63,295.27
62,274.07
974,92.15
446,57.4
267,64.49
229,80.92
198,70.89
973,71.73
972,239.64
8,307.35
896,99.7
895,110.91
1,371.02
458,222.38
457,324.41
971,14.03
970,54.8
26,178.17
174,83.83
332,121.39
969,36.61
360,48.85
262,279.31
968,12.68
967,37.81
578,280.69
966,17.27
965,14.26
917,55.68
916,33.55
915,51.2
914,27.01
913,46.13
912,57.7
206,31.16
205,47.62
964,96.35
16,81.22
15,157.27
14,145.62
963,26.81
547,10.03
546,1.74
545,25.77
544,42.1
480,5.91
316,13.84
961,1.18
960,1.14
959,1.12
94,138.94
93,179.27
92,129.27
958,9.73
260,282.06
91,163.06
90,149.39
957,8.64
908,178.73
242,90.59
956,156.54
910,229.8
511,218.33
3,161.2
328,99.5
326,151.24
324,186.77
323,198.56
607,61.88
954,104.7
727,206.48
648,356.73
585,170.06
564,294.67
493,356.68
492,362.54
490,372.71
953,55.02
952,101.95
950,4.09
722,120.21
721,163.37
720,143.85
719,157.04
718,162.11
717,147.09
716,171.29
715,197.45
714,148.19
700,194.15
699,162.57
698,222.39
697,185.39
414,198.21
30,129.52
302,211.44
278,217.92
269,162.53
21,148.22
951,5.14
872,1.36
871,1.4
870,1.46
869,1.5
949,47.04
948,9.26
947,13.22
946,1.03
945,9.66
944,17.39
942,4.82
569,29.11
476,169.37
943,1.25
941,195.51
940,191.1
939,138.13
938,29.9
623,153.29
622,195.13
586,153.76
551,307.11
526,126.19
525,103.09
373,216.8
751,82.41
937,38.23
936,25.39
933,85.41
903,56.85
562,233.17
561,262.92
109,261.74
935,31.19
934,5.62
740,158.7
69,248.37
653,188.25
459,308.82
315,235.62
932,41.72
241,171.77
116,328.82
931,205.21
724,301.12
643,210.64
275,278.77
274,242.08
273,296.99
272,248.55
189,137.69
186,211.66
157,340.96
144,278.36
143,118.05
930,183.25
528,68.8
357,263.57
929,185.64
928,93.19
927,118.75
926,137.9
84,234.46
7,334.51
710,292.29
620,223.71
377,313.02
240,138.04
239,118.59
238,213.13
749,129.28
635,260.34
249,154.47
925,36.63
924,95.99
923,1.12
922,35.24
921,62.68
574,91.38
573,141.08
572,127.54
571,138.66
264,144.93
263,137.11
258,144.4
257,152.47
920,13.65
266,34.76
919,107.39
766,65.69
763,57.67
389,214.76
134,81.2
121,246.37
918,41.17
531,34.76
530,35.92
529,25.47
261,228.23
909,90.2
481,61.25
911,199.18
832,165.96
747,58.38
730,214.7
729,260.41
628,132.79
579,203.64
514,278.31
508,337.71
473,233.49
417,168.16
294,247.26
883,40.44
882,98.02
501,242.77
255,160.3
726,348.09
170,129.01
169,196.5
10,130.08
0,100.52
880,66.24
840,201.25
762,144.49
750,198.02
728,182.84
676,133.82
159,244.5
907,105.85
906,68.43
761,98.11
905,48.41
902,116.67
904,55.69
800,122.72
483,279.77
118,259.34
510,329.58
509,298.27
901,14.46
51,200.17
900,12.91
329,242.6
899,33.56
898,21.7
897,16.95
79,137.89
668,136.34
