Node,SIR
24325,57.1
24394,380.0
40517,347.85
58507,85.05
3737,288.67
3905,35.91
7237,60.1
12715,158.71
13648,355.88
13659,154.09
13664,59.62
14304,113.03
14823,199.22
17370,287.02
18956,303.95
19615,327.5
19660,264.99
21669,354.22
23106,116.13
24832,83.88
26021,196.75
26363,85.88
28240,182.16
35376,44.95
35424,300.28
36383,140.76
36860,337.56
37616,147.81
37932,196.66
39984,71.24
41687,258.73
44934,367.71
48192,345.66
51464,139.36
55079,154.63
59077,362.77
59471,305.32
59870,88.54
61742,355.73
61796,151.49
62227,332.14
65346,53.11
66689,206.1
67851,43.59
24897,15.59
30545,56.28
42653,103.74
1182,7.3
3175,30.44
5379,209.47
33426,121.89
34071,304.77
36192,21.09
39688,111.46
63113,367.0
65086,193.99
66829,37.24
68041,95.83
554,314.01
3088,226.85
4503,206.65
4521,188.83
6142,260.34
9117,146.06
11180,241.47
12981,225.98
13769,117.43
20394,316.73
21477,178.58
22916,114.37
24295,263.02
28268,64.73
33726,36.58
40894,329.52
44594,77.72
45385,327.5
46139,294.14
49541,321.47
50970,93.98
53159,105.3
55835,337.66
56948,174.51
57628,48.71
60251,104.15
60797,175.25
67012,153.78
1441,121.43
3306,227.84
15089,45.54
22990,43.64
25318,32.89
25406,1.52
25750,30.81
25902,92.32
28406,46.53
28440,16.44
29941,7.25
33454,203.22
39659,179.3
40187,31.6
42018,38.55
59205,26.06
1444,9.86
4189,1.52
5338,37.83
12698,9.23
14425,10.14
15946,82.53
19172,16.32
22014,62.01
29017,84.88
30982,57.09
34121,42.72
35725,96.06
35863,37.82
40691,24.2
41588,93.61
45556,52.2
52121,7.55
52622,61.83
56995,65.21
57145,11.4
3029,8.14
39076,1.15
57738,243.97
2394,108.85
2470,17.47
6975,252.89
17554,84.82
17702,39.2
18533,215.25
20532,136.53
22552,305.33
27926,144.11
29761,39.24
33137,76.35
34596,138.69
35059,80.52
35280,222.53
47226,87.43
54118,79.44
60926,308.85
61918,46.72
65338,68.9
66820,239.47
66821,60.34
67820,90.07
4070,127.54
17141,124.01
25442,66.23
30291,219.99
37380,26.27
46598,117.05
51911,26.47
53676,73.28
54556,166.95
57682,58.5
57739,30.03
58198,53.96
