Node,SIR
0,1.04
747,8.11
1,12.3
4257,8.0
2194,45.35
580,1.18
6478,20.29
1222,5.3
5735,2.83
7146,5.08
2204,49.93
126,4.44
2639,1.88
2,1.53
562,1.69
1492,1.69
6,3.27
5303,2.96
7128,2.59
4154,2.42
5179,1.22
3,18.74
1728,7.96
4560,7.24
5060,26.78
1351,16.29
6503,13.84
7089,21.67
4319,45.04
6095,29.59
272,3.58
4433,40.46
2900,1.97
3381,71.79
5943,19.29
2107,10.48
6940,12.62
2013,4.86
6046,22.52
5823,49.45
4,1.15
5770,1.41
5,9.36
5454,76.2
5856,1.83
667,8.01
6180,4.21
598,3.06
870,1.86
3079,2.8
1834,4.03
6283,1.52
7340,1.97
7279,2.23
342,1.87
4405,1.07
1462,6.94
1284,2.43
1551,1.83
3291,1.85
167,7.88
7,6.29
177,6.85
6243,1.04
7589,7.95
2854,66.34
6931,81.89
6250,3.79
428,2.9
2142,24.13
8,1.05
1686,2.47
9,1.83
4481,1.21
1795,8.33
2660,1.84
6053,1.01
246,1.14
3843,1.53
6441,19.13
366,1.16
10,1.25
5489,2.12
11,8.24
5240,3.7
618,10.02
2412,48.88
1325,6.16
4919,74.33
12,3.07
5274,68.7
3807,24.66
13,92.02
1794,54.93
3971,30.34
1223,89.19
6152,32.91
5385,6.86
1509,119.36
524,148.1
4770,51.79
1937,119.63
7315,26.63
1817,66.11
6298,69.38
2266,55.57
3557,80.38
5857,111.84
866,105.27
2789,11.16
3559,58.8
4904,108.63
6565,39.97
5355,87.66
620,10.53
110,127.2
2835,114.58
3316,31.61
6712,107.88
1850,40.9
4860,111.55
4606,83.66
14,1.56
5862,12.05
2155,8.34
6438,13.23
3086,35.7
15,11.19
3530,95.95
7580,17.61
3029,1.88
4375,10.45
16,83.07
7296,42.97
2626,54.21
131,82.82
6323,93.51
1799,72.71
3103,115.13
5578,107.56
7435,71.24
1677,119.37
5072,23.45
4008,51.44
3410,65.47
6446,125.32
4184,11.78
5725,109.93
1349,83.87
5088,3.01
6544,82.73
2530,9.88
1956,65.77
38,14.73
550,71.45
6567,43.62
4968,18.12
1005,128.93
6126,72.8
1905,78.81
3699,17.03
773,1.65
1016,24.62
2751,46.78
3324,25.24
766,64.97
6101,129.2
17,55.84
6105,200.59
4242,98.64
7237,238.9
1334,245.65
951,230.08
1337,48.06
3165,166.41
18,24.79
6372,3.38
4042,25.13
3596,36.48
7185,3.43
5139,9.51
615,8.78
2788,1.61
3163,31.65
5534,44.62
6816,5.69
6436,21.78
421,13.68
4775,10.95
1384,40.97
3755,38.58
3820,1.68
4212,14.11
478,5.45
6136,14.5
6399,8.21
3581,4.66
7614,7.41
4085,11.2
19,1.37
2625,1.09
2692,1.18
1501,1.18
6703,5.68
20,19.41
2689,3.05
