Node,SIR
1,1.66
2,1.903
3,1.678
4,1.337
5,2.704
6,2.616
7,2.639
8,2.719
9,2.732
10,2.579
11,1.585
12,3.034
13,2.49
14,2.501
15,2.086
16,2.06
17,1.689
18,3.754
19,2.645
20,2.65
21,2.775
22,3.121
23,3.187
24,3.213
25,3.154
26,1.595
27,1.569
28,1.58
29,1.589
30,1.582
31,1.606
32,2.208
33,3.098
34,3.009
35,2.831
36,2.812
37,2.226
38,1.587
39,1.635
40,1.614
41,39.4
42,13.45
43,11.771
44,51.288
45,50.005
46,50.276
47,30.804
48,25.81
49,25.02
50,39.359
51,19.969
52,38.612
53,32.914
54,47.444
55,45.885
56,46.677
57,45.089
58,24.865
59,26.26
60,25.667
61,27.262
62,14.212
63,14.26
64,25.737
65,27.192
66,22.141
67,22.714
68,23.443
69,44.0
70,42.935
71,29.997
72,21.047
73,36.967
74,37.469
75,32.672
76,33.941
77,23.592
78,22.087
79,33.134
80,26.193
81,32.534
82,38.689
83,33.799
84,34.319
85,42.347
86,20.8
87,37.067
88,30.857
89,31.082
90,20.518
91,30.283
92,3.552
93,3.554
94,3.582
95,3.533
96,3.596
97,3.496
98,1.235
99,1.269
100,6.216
101,6.985
102,17.371
103,4.451
104,3.699
105,4.11
106,3.835
107,34.703
108,7.887
109,7.63
110,7.637
111,9.359
112,7.465
113,13.764
114,7.757
115,7.127
116,5.49
117,6.45
118,15.03
119,6.508
120,6.846
121,27.942
122,18.873
123,22.339
124,28.277
125,28.344
126,12.591
127,12.411
128,14.279
129,14.857
130,23.741
131,20.609
132,21.958
133,22.549
134,8.109
135,13.475
136,18.923
137,25.541
138,15.504
139,13.279
140,4.216
141,1.598
142,1.562
143,1.625
144,16.036
145,13.458
146,9.506
147,8.764
148,13.461
149,14.701
150,14.529
151,14.673
152,11.413
153,9.333
154,13.494
155,14.356
156,14.107
157,13.757
158,12.978
159,13.011
160,12.609
161,12.976
162,12.833
163,12.768
164,5.635
165,5.845
166,5.729
167,5.951
168,1.576
169,1.574
170,1.632
171,28.73
172,17.537
173,27.469
174,25.376
175,27.259
176,12.237
177,23.574
178,15.969
179,24.094
180,22.739
181,17.498
182,10.249
183,10.15
184,20.294
185,33.939
186,32.723
187,10.001
188,8.725
189,8.513
190,9.953
191,8.669
192,10.348
193,8.416
194,2.878
195,3.083
196,2.892
197,4.666
198,7.163
199,3.627
200,3.586
201,14.054
202,14.319
203,13.804
204,23.981
205,25.575
206,19.897
207,20.09
208,22.248
209,20.772
210,19.541
211,12.141
212,18.683
213,13.701
214,8.872
215,10.894
216,20.478
217,11.822
218,9.674
219,11.435
220,10.852
221,16.958
222,9.526
223,14.176
224,12.727
225,13.576
226,1.895
227,2.423
228,1.834
229,2.428
230,1.57
231,1.628
232,1.611
233,1.64
234,1.844
235,2.345
236,1.8
237,2.378
238,1.494
239,1.603
240,1.578
241,1.587
242,27.529
243,18.337
244,27.176
245,18.188
246,19.178
247,17.35
248,27.462
249,17.424
250,10.897
251,11.272
252,11.309
253,14.479
254,9.663
255,10.589
256,1.58
257,1.624
258,1.632
259,1.657
260,1.818
261,1.648
262,1.39
263,1.266
264,1.267
265,1.272
266,1.243
267,1.684
268,3.0
269,4.634
270,2.915
271,1.669
272,2.935
273,2.817
274,2.878
275,2.782
276,2.817
277,1.915
278,1.384
279,1.911
280,1.71
281,6.66
282,10.363
283,9.587
284,10.301
285,32.321
286,30.998
287,8.537
288,18.362
289,1.616
290,1.58
291,1.586
292,12.501
293,20.959
294,11.86
295,12.695
296,12.84
297,11.869
298,12.699
299,29.612
300,10.949
301,11.142
302,10.139
303,17.777
304,1.25
305,1.256
306,18.111
307,3.594
308,10.857
309,9.224
310,5.011
311,5.624
312,5.889
313,4.557
314,1.272
315,1.247
316,8.41
317,8.114
318,8.118
319,8.293
320,8.169
321,8.271
322,8.32
323,8.3
324,8.394
325,8.307
326,12.056
327,22.32
328,13.062
329,29.679
330,16.366
331,11.797
332,18.513
333,12.985
334,12.11
335,16.851
336,15.54
337,16.875
338,2.09
339,2.055
340,2.026
341,2.053
342,1.251
343,1.22
344,12.591
345,3.692
346,15.132
347,13.336
348,12.045
349,1.274
350,1.245
351,1.512
352,1.304
353,1.317
354,1.687
355,1.721
356,1.828
357,1.403
358,1.618
359,1.636
360,1.589
361,1.675
362,1.65
363,1.862
364,1.391
365,1.547
366,1.618
367,1.585
368,1.249
369,1.249
370,5.637
371,6.154
372,4.755
373,5.005
374,4.839
375,1.91
376,1.929
377,2.698
378,2.303
379,2.306
380,2.22
381,4.248
382,6.936
383,6.239
384,6.575
385,6.099
386,5.399
387,3.798
388,4.304
389,2.749
390,2.639
391,2.663
392,2.76
393,2.73
394,2.111
395,12.919
396,14.459
397,12.834
398,1.259
399,1.231
400,2.138
401,1.817
402,1.814
403,1.825
404,1.8
405,1.606
406,1.548
407,1.635
408,1.595
409,1.568
410,1.649
411,25.996
412,21.212
413,22.249
414,17.858
415,18.697
416,16.882
417,20.595
418,16.634
419,21.174
420,17.116
421,16.63
422,14.614
423,8.067
424,22.168
425,13.664
426,23.454
427,22.755
428,12.76
429,12.725
430,20.052
431,20.816
432,21.265
433,21.802
434,14.065
435,12.612
436,1.332
437,1.509
438,1.317
439,2.045
440,2.098
441,2.013
442,2.04
443,3.118
444,3.334
445,1.261
446,1.248
447,3.108
448,1.679
449,1.8
450,2.853
451,2.947
452,2.876
453,2.977
454,1.636
455,2.963
456,2.85
457,2.853
458,2.786
459,2.857
460,3.093
461,2.423
462,1.717
463,3.107
464,2.126
465,2.05
466,1.752
467,3.346
468,2.78
469,2.695
470,1.627
471,1.623
472,1.605
473,5.797
474,5.659
475,3.339
476,13.64
477,2.119
478,2.058
479,2.034
480,2.136
481,1.245
482,1.225
483,15.345
484,17.237
485,14.951
486,16.992
487,18.414
488,15.568
489,17.595
490,16.333
491,14.424
492,14.238
493,14.986
494,1.266
495,1.232
496,1.861
497,1.891
498,2.663
499,2.24
500,2.233
501,2.258
502,8.716
503,17.448
504,18.03
505,16.836
506,18.31
507,17.916
508,16.554
509,11.614
510,16.298
511,15.229
512,17.9
513,18.408
514,18.383
515,17.905
516,13.622
517,9.82
518,8.761
519,7.093
520,9.117
521,9.103
522,10.848
523,4.792
524,1.931
525,1.715
526,1.949
527,1.753
528,1.604
529,1.616
530,1.618
531,14.596
532,16.18
533,15.182
534,13.644
535,12.488
536,14.186
537,13.62
538,11.974
539,11.889
540,11.943
541,11.737
542,10.202
543,8.153
544,8.566
545,10.532
546,9.803
547,9.925
548,10.2
549,7.325
550,7.486
551,7.063
552,2.597
553,1.596
554,2.496
555,2.525
556,3.008
557,3.231
558,1.641
559,8.978
560,9.753
561,4.266
562,4.678
563,6.474
564,6.046
565,6.215
566,9.699
567,7.425
568,7.015
569,5.181
570,9.573
571,8.701
572,1.248
573,1.226
574,1.66
575,1.864
576,1.7
577,1.431
578,1.293
579,1.498
580,1.284
581,3.421
582,2.998
583,2.729
584,3.261
585,2.731
586,2.671
587,2.298
588,13.846
589,19.149
590,15.017
591,22.68
592,12.037
593,10.413
594,19.398
595,19.255
596,18.832
597,19.331
598,19.089
599,8.237
600,6.692
601,5.963
602,7.286
603,6.053
604,2.053
605,2.045
606,2.061
607,2.071
608,2.069
609,4.726
