Node,SIR
1,473.032
2,355.474
3,22.055
4,10.273
5,101.924
6,573.696
7,285.007
8,120.492
9,330.078
10,112.181
11,730.19
12,523.77
13,67.498
14,140.941
15,89.66
16,207.028
17,515.441
18,418.168
19,145.454
20,138.843
21,120.801
22,494.162
23,469.563
24,200.103
25,93.548
26,24.051
27,100.909
28,67.497
29,677.047
30,165.502
31,433.309
32,195.522
33,93.965
34,277.858
35,271.404
36,17.624
37,238.083
38,128.098
39,52.497
40,356.944
41,714.848
42,152.75
43,61.432
44,247.81
45,160.694
46,88.368
47,76.548
48,60.952
49,239.989
50,51.619
51,34.903
52,643.71
53,138.342
54,7.459
55,111.366
56,22.621
57,79.84
58,163.71
59,292.455
60,38.34
61,100.346
62,27.466
63,109.507
64,156.103
65,460.863
66,198.334
67,161.593
68,23.859
69,181.987
70,22.792
71,296.8
72,397.662
73,67.267
74,47.481
75,141.771
76,363.394
77,79.681
78,14.807
79,6.498
80,45.142
81,39.425
82,55.335
83,140.677
84,262.427
85,143.178
86,122.41
87,172.474
88,123.17
89,127.786
90,102.341
91,329.102
92,216.471
93,40.468
94,108.705
95,37.055
96,125.991
97,258.442
98,323.602
99,47.491
100,183.608
101,112.531
102,118.18
103,272.89
104,255.393
105,281.027
106,149.398
107,158.54
108,42.808
109,239.641
110,130.934
111,117.412
112,95.742
113,156.676
114,22.833
115,154.535
116,404.406
117,181.242
118,16.476
119,188.623
120,198.809
121,103.576
122,120.695
123,281.541
124,177.658
125,189.599
126,27.573
127,301.678
128,90.739
129,58.765
130,165.378
131,40.099
132,55.762
133,230.215
134,459.97
135,425.766
136,495.724
137,277.743
138,54.689
139,82.02
140,7.06
141,68.088
142,37.607
143,30.69
144,389.033
145,76.31
146,86.009
147,49.167
148,80.023
149,232.635
150,122.255
151,36.872
152,91.016
153,65.532
154,94.299
155,36.86
156,260.707
157,34.601
158,79.934
159,162.56
160,52.915
161,102.747
162,179.1
163,78.037
164,81.472
165,172.49
166,136.009
