Node,SIR
0,100.989
2,152.672
10,74.746
14,78.61
39,41.074
41,65.146
44,73.867
78,37.913
93,43.101
102,46.283
103,51.464
104,53.008
114,35.838
122,46.74
179,40.768
220,40.928
230,25.887
300,33.643
334,31.434
374,22.381
377,43.588
455,28.283
456,34.215
523,30.959
556,27.627
580,31.877
733,45.656
734,27.397
741,31.218
763,24.343
784,31.521
829,32.627
834,24.771
909,26.95
943,25.159
1,86.195
3,143.957
15,78.048
20,59.278
27,54.721
37,46.858
100,63.53
107,31.332
149,21.791
154,30.061
185,32.879
215,28.025
383,27.677
476,31.768
4,128.393
5,87.164
6,82.518
7,77.878
11,70.526
12,72.103
13,113.012
16,73.291
19,86.635
24,65.221
25,51.143
26,49.001
28,52.578
29,87.49
30,78.799
40,82.272
51,46.357
55,74.814
60,56.676
61,53.099
63,61.409
64,62.877
72,55.24
74,65.579
75,59.016
77,67.898
84,37.478
85,44.744
86,50.387
88,38.236
89,41.98
90,42.496
96,53.368
116,55.478
117,49.043
120,51.993
125,42.728
136,47.985
141,47.352
142,37.847
146,39.443
148,40.532
161,52.089
163,42.92
174,54.506
191,43.678
200,38.859
206,51.803
210,48.663
216,37.614
232,47.828
238,41.316
245,34.885
246,40.476
259,47.27
261,36.805
262,52.645
285,38.894
289,31.834
298,45.466
302,37.073
306,37.397
307,42.914
326,44.784
331,38.166
335,34.483
337,38.94
339,41.094
344,41.371
345,42.974
360,36.403
373,38.849
375,43.113
386,37.671
387,46.034
398,35.133
401,33.021
409,43.895
412,44.067
426,36.855
451,32.248
468,32.364
493,37.887
496,37.681
497,37.005
516,37.742
538,33.706
584,35.241
592,33.031
593,38.005
598,28.817
619,49.049
625,38.924
643,35.169
647,37.327
667,33.806
679,29.767
720,43.045
724,38.458
749,31.627
750,51.815
753,34.604
852,32.551
859,39.249
864,32.628
874,30.729
876,29.526
911,37.687
915,32.449
936,30.641
941,34.332
951,33.799
955,37.872
976,48.593
980,32.655
990,32.166
994,38.19
998,32.709
21,112.31
31,61.0
36,59.843
57,39.898
59,61.52
65,54.938
66,84.142
67,67.67
70,56.965
79,61.606
80,54.163
81,41.704
87,32.051
99,51.08
108,42.519
119,38.301
128,47.864
129,62.036
130,37.262
132,43.573
143,40.217
167,39.045
178,39.184
223,49.871
242,44.832
250,37.824
255,47.609
286,48.215
308,44.05
309,35.679
316,48.129
332,43.3
336,37.338
343,31.171
351,45.223
399,37.416
437,38.323
440,41.31
444,38.913
475,35.818
477,29.406
481,35.479
503,35.756
508,37.63
512,32.592
539,32.671
544,29.801
548,28.883
550,31.52
567,30.447
587,32.968
603,31.371
605,35.75
615,41.628
616,41.303
661,29.998
725,32.081
740,38.123
801,31.4
847,29.179
848,28.349
904,40.169
957,32.114
960,30.666
988,30.695
9,87.099
17,90.708
33,66.758
38,35.206
42,55.03
49,50.121
82,49.405
127,68.837
152,33.68
160,35.81
172,36.813
207,37.747
208,26.573
283,40.806
288,43.635
294,45.578
322,34.939
356,26.177
391,52.184
463,25.427
495,40.682
510,34.267
570,29.758
572,31.133
589,34.624
596,40.094
651,30.764
676,22.909
742,27.233
792,30.093
804,29.246
826,29.561
946,27.885
947,30.266
974,31.121
68,48.544
69,49.908
177,32.424
253,26.393
277,23.754
473,28.013
534,28.895
560,25.12
715,19.405
772,28.287
798,35.274
875,19.978
888,28.887
8,58.132
164,29.654
193,39.429
321,25.351
408,28.095
541,23.335
865,21.955
886,21.972
18,73.024
48,64.334
365,30.662
464,21.442
505,27.683
585,34.116
677,29.286
692,29.451
121,44.409
139,26.112
159,26.832
231,20.009
275,18.905
320,27.283
369,14.194
729,16.161
282,29.211
292,30.271
305,19.34
317,39.386
367,22.561
442,21.596
461,32.514
494,25.662
536,28.288
545,23.973
561,27.271
594,22.325
686,24.14
756,21.927
782,28.328
814,24.131
866,20.338
975,20.75
73,69.097
155,30.842
199,27.573
280,18.581
404,23.841
447,23.946
507,24.747
574,22.789
634,18.887
803,17.816
47,36.62
303,21.247
389,17.753
657,19.907
931,20.944
23,89.509
432,29.588
953,17.028
46,48.968
109,39.694
144,50.766
256,33.803
263,38.885
312,32.795
382,32.08
427,36.069
431,38.603
568,27.78
621,29.287
669,33.673
671,24.364
805,25.4
32,50.856
169,29.831
315,28.381
564,28.413
600,28.331
22,62.154
53,30.656
352,25.228
393,28.524
435,22.159
467,26.905
514,19.041
922,22.141
45,46.151
194,31.416
195,21.296
314,27.722
405,22.716
420,31.543
641,20.162
700,18.088
735,17.127
34,38.099
123,27.25
124,37.796
184,23.132
225,33.921
462,28.6
487,35.226
490,21.75
551,27.661
552,24.517
581,20.897
582,28.639
690,19.728
986,20.444
54,32.644
56,40.694
91,33.819
92,35.251
171,27.46
341,27.994
347,30.596
430,40.021
466,27.402
533,23.12
773,20.086
878,22.793
43,43.227
189,28.571
248,30.77
269,28.331
279,29.011
328,36.524
400,32.846
438,29.718
578,27.732
992,23.341
50,38.345
134,23.906
221,24.93
267,29.765
342,23.593
674,21.16
695,19.447
731,16.611
797,16.995
925,16.802
952,29.141
35,81.364
62,31.42
76,30.007
83,45.246
97,38.659
147,31.118
190,30.396
192,33.663
213,28.981
278,35.029
313,38.204
349,29.696
370,34.792
388,35.389
418,32.637
518,27.603
520,34.914
527,31.318
540,26.145
588,30.991
595,29.295
601,35.178
623,24.51
629,27.343
632,28.641
642,26.344
659,28.326
699,27.581
722,32.929
762,31.832
815,23.254
843,34.156
849,31.482
869,25.583
882,33.086
906,29.124
929,35.759
954,32.511
985,25.743
115,32.787
187,24.307
346,19.896
371,22.902
434,18.943
478,15.786
618,18.535
624,21.85
881,15.756
894,16.27
101,34.15
168,25.394
181,30.118
217,26.763
236,27.521
247,36.579
266,34.022
281,28.672
353,25.937
363,22.61
379,29.275
402,28.026
687,28.443
799,31.656
933,19.417
978,21.347
126,29.266
239,28.055
106,16.751
325,18.265
465,26.285
635,20.367
660,15.166
112,23.187
233,21.821
240,22.426
395,23.387
403,18.358
653,25.513
201,22.511
385,23.684
532,11.865
702,20.185
162,33.85
214,23.419
241,28.588
469,23.512
530,22.503
633,30.347
737,23.175
857,23.925
862,17.743
900,21.325
52,38.296
176,25.633
252,20.648
301,23.045
357,22.635
754,20.049
757,20.649
981,20.358
111,21.773
180,27.922
202,20.917
205,25.052
575,21.943
636,16.487
131,32.423
145,29.973
276,28.585
429,20.89
547,28.012
776,23.324
785,17.429
786,12.237
860,15.572
173,27.484
654,18.992
705,14.136
759,20.793
907,16.025
268,18.389
110,35.599
183,27.787
203,21.587
204,27.407
228,39.388
297,22.393
390,27.296
413,29.446
649,30.232
703,25.149
833,26.469
856,23.525
903,21.019
982,20.872
58,23.555
226,18.699
319,19.779
366,25.385
423,19.306
924,19.576
254,20.118
419,19.352
565,15.172
837,14.848
71,42.608
137,32.059
157,32.736
224,31.243
448,18.55
449,26.65
509,16.405
583,23.461
673,21.007
681,25.717
732,22.906
868,21.894
896,29.614
113,38.256
483,21.005
608,23.132
620,15.491
662,23.754
775,16.341
905,16.589
138,28.021
698,17.3
830,13.793
480,16.277
118,36.568
133,29.204
244,22.854
323,25.758
454,30.562
622,20.675
222,21.593
333,23.068
482,13.427
609,23.263
761,15.595
340,19.655
555,18.514
234,17.741
170,19.495
450,20.824
670,23.319
767,19.98
828,19.891
892,22.193
227,14.712
613,14.901
812,14.356
606,11.437
443,14.362
553,10.577
197,36.983
290,16.597
446,29.074
479,20.034
488,23.1
499,22.786
521,20.322
558,19.679
680,17.77
774,22.855
854,20.885
983,16.062
425,26.032
590,10.638
611,9.005
863,21.661
212,19.461
414,14.833
98,45.113
140,46.431
453,14.109
150,19.494
271,16.292
327,29.78
577,28.342
706,18.623
987,15.352
668,17.94
211,19.936
810,16.099
218,24.518
354,23.562
376,22.554
396,18.187
397,23.327
511,26.744
526,21.412
175,28.436
359,21.769
406,28.077
748,22.637
94,41.826
95,30.292
156,26.497
528,21.842
529,20.389
664,22.38
808,26.708
821,22.154
919,20.014
995,17.897
265,19.289
274,25.169
350,17.987
458,17.133
546,22.525
549,23.438
628,19.959
272,15.029
890,15.845
158,33.123
284,21.639
304,15.411
421,25.671
607,16.976
105,29.066
719,18.645
840,17.067
452,16.731
602,17.903
870,14.978
209,22.423
381,16.472
394,31.381
445,21.94
559,19.968
612,17.065
691,13.681
743,17.816
780,18.939
794,22.783
198,24.024
361,21.543
760,16.492
796,17.388
135,25.927
166,42.797
515,17.66
586,15.865
591,12.955
693,26.717
716,16.738
793,11.413
940,17.703
407,25.587
537,22.03
711,20.45
858,15.058
392,19.45
655,15.738
663,23.734
672,19.008
498,18.503
364,13.838
368,17.875
682,15.193
816,12.402
270,19.672
273,16.312
295,18.842
646,14.486
502,13.174
457,16.073
243,19.6
296,28.73
153,26.466
563,18.257
186,25.067
436,13.452
474,13.632
188,36.586
257,16.444
484,23.487
844,9.207
644,10.737
648,13.997
709,9.746
781,16.149
291,15.848
293,17.28
795,12.698
961,15.358
362,14.437
542,23.617
813,19.655
688,12.407
311,28.482
576,11.662
867,15.781
459,16.411
182,27.449
424,23.25
645,19.968
770,17.862
714,13.513
338,14.277
543,14.914
656,17.502
744,17.513
984,13.358
439,12.418
758,14.506
872,7.988
977,8.572
895,12.377
717,15.461
355,22.978
249,11.891
708,11.954
811,12.665
914,10.862
942,15.584
861,9.322
525,22.358
678,20.966
219,20.428
318,23.63
617,20.713
264,23.05
718,9.579
893,12.156
640,13.304
920,11.97
260,16.623
329,24.236
384,13.837
472,16.168
599,15.617
727,17.037
751,10.883
884,13.109
825,10.293
151,24.685
235,24.237
889,18.216
441,12.334
524,19.836
839,15.015
871,12.554
554,19.889
883,19.485
918,13.512
299,12.412
324,11.812
779,10.174
910,11.425
966,11.801
597,9.33
752,17.699
229,15.596
237,30.246
348,18.705
736,16.873
765,9.079
165,13.126
378,13.652
787,10.056
513,14.827
901,9.854
610,9.83
710,8.554
932,12.892
196,18.794
827,8.92
658,8.522
950,10.945
845,15.402
697,19.066
838,16.098
938,11.184
921,15.113
944,10.165
417,8.47
675,11.166
999,7.675
251,14.006
912,9.913
696,21.418
809,16.388
504,12.388
579,16.75
652,12.564
913,7.392
958,10.744
310,20.02
415,10.624
380,24.694
519,10.943
721,6.882
258,18.517
517,14.33
704,13.266
791,18.288
836,14.633
891,9.286
927,12.806
531,19.976
535,13.73
630,10.213
712,17.07
979,14.653
604,11.06
746,19.196
926,12.47
506,13.724
820,8.379
685,12.754
739,16.571
880,9.923
964,8.176
969,7.57
962,9.707
639,13.253
666,14.072
683,10.698
928,14.634
917,13.727
411,15.899
372,18.14
330,9.313
566,7.039
571,6.681
491,8.471
747,10.647
638,8.422
287,12.579
689,9.318
788,8.49
959,12.85
500,15.147
557,11.847
471,8.936
898,9.118
908,14.914
416,10.441
991,7.2
949,7.995
627,15.742
778,11.972
806,12.702
824,9.996
887,11.933
968,8.349
934,10.156
684,16.998
819,14.968
835,11.462
879,11.443
818,15.169
842,9.593
877,6.348
428,30.434
930,13.761
723,12.473
766,15.807
771,6.186
358,14.58
873,6.972
789,13.247
996,16.568
972,13.999
730,8.209
637,20.528
939,16.282
573,16.837
631,9.076
855,7.111
777,16.416
935,8.182
470,21.826
522,17.823
923,14.725
569,13.314
501,13.616
937,15.743
851,10.178
410,9.744
841,7.906
997,9.24
492,18.502
790,6.611
665,10.883
965,8.615
769,12.344
850,10.422
899,9.773
485,15.936
433,21.634
701,11.781
783,11.691
967,8.358
728,11.356
489,17.868
853,9.583
963,17.523
764,9.055
422,13.205
626,11.717
956,11.186
832,9.171
831,11.7
707,11.09
460,7.28
650,13.706
945,9.498
948,5.349
846,13.552
745,13.055
823,14.507
817,7.646
486,10.04
973,9.065
885,12.289
916,7.062
971,7.057
802,4.852
614,7.786
755,8.789
726,7.381
562,10.317
738,8.917
902,9.401
768,5.902
713,10.879
822,9.282
800,10.2
807,15.064
989,7.429
897,7.802
694,7.938
970,6.971
993,11.353
