Node,SIR
1,835.62
10293,1087.45
2,527.77
10294,1211.23
3,678.71
10295,1290.0
4,727.17
10296,955.52
5,393.49
10297,898.35
6,519.07
10298,908.4
7,363.78
10299,1004.74
8,180.1
10300,553.9
9,452.81
10301,596.24
10,82.73
10302,215.06
11,118.21
10303,481.66
12,324.11
10304,419.0
13,177.31
10305,310.92
14,213.46
10306,463.48
15,278.62
10307,451.63
16,459.07
10308,619.33
17,195.35
10309,503.72
18,360.89
10310,904.15
19,247.12
10311,517.6
20,468.13
10312,666.62
21,314.5
10313,787.1
22,377.75
10314,755.13
23,382.97
10315,901.65
24,450.92
10316,989.04
25,359.33
10317,741.88
26,381.54
10318,692.51
27,483.72
10319,787.88
28,609.02
10320,719.16
29,301.8
10321,696.49
30,325.75
10322,519.3
31,329.05
10323,641.46
32,405.87
10324,741.2
33,669.07
10325,1068.21
34,664.43
10326,1345.13
35,620.19
10327,1089.05
36,690.75
10328,1479.34
37,632.82
10329,1211.8
38,888.6
10330,1850.37
39,648.21
10331,1557.21
40,851.72
10332,1570.97
41,885.07
10333,1508.45
42,900.54
10334,1731.34
43,868.77
10335,1689.27
44,648.8
10336,1509.79
45,941.62
10337,1926.02
46,744.55
10338,1753.4
47,609.49
10339,1374.14
48,1146.54
10340,2203.62
49,1123.54
10341,1945.58
50,1102.29
10342,1798.25
51,947.5
10343,1819.64
52,972.88
10344,1818.81
53,610.43
10345,1471.74
54,869.09
4051,1939.37
55,728.31
2447,1551.27
56,754.31
4053,1585.42
57,919.79
4056,1703.45
58,601.73
4065,1212.69
59,665.23
2462,1216.7
60,470.38
4100,964.3
61,1107.92
10352,1995.07
62,879.93
7517,1386.9
63,940.74
9339,1734.02
64,988.64
10353,1850.62
65,916.22
10354,1710.8
66,640.83
9912,1378.37
67,1193.07
4726,1517.9
68,1105.03
9340,1723.8
69,814.17
2547,1514.32
70,1086.33
2548,1621.8
71,883.72
10357,1639.9
72,749.93
9918,1469.3
73,1159.53
10355,1619.31
74,809.05
2645,2028.16
75,944.14
2683,1715.53
76,769.1
2702,2014.0
77,645.66
4363,1437.25
78,594.49
2485,1381.08
79,665.24
4738,1582.61
80,1117.77
2650,1988.79
81,794.49
4414,1904.64
82,841.4
10361,1812.52
83,1032.95
10362,1502.8
84,781.39
4474,1423.52
85,1077.97
4324,1938.0
86,1007.79
2675,1831.91
87,851.45
4505,1831.42
88,717.99
2780,1552.3
89,1110.25
4530,1272.33
90,976.32
4336,1737.4
91,587.7
4344,1736.05
92,574.53
4513,1817.67
93,634.24
9345,1334.04
94,780.01
10365,1196.37
95,615.93
4544,1340.14
96,681.14
4338,1681.02
97,782.13
4642,1428.63
98,811.05
