Node,SIR
1,61.553
8,62.869
24,65.824
35,84.244
42,35.97
46,59.479
60,100.068
74,53.707
78,63.328
81,82.277
95,81.486
98,87.263
99,91.179
100,87.822
101,89.113
103,58.724
104,46.131
108,95.176
131,90.963
132,97.879
154,81.897
159,25.686
168,95.502
171,84.7
2,10.687
14,60.985
54,85.507
150,79.653
3,10.982
115,10.481
153,63.508
167,67.336
172,66.436
4,36.147
5,71.836
13,48.335
26,58.238
77,57.325
85,41.79
102,37.564
138,48.497
147,67.095
156,45.138
169,46.187
173,49.044
176,51.639
189,55.659
19,64.17
21,5.148
27,32.145
28,54.29
29,58.275
51,44.753
53,81.072
57,75.549
73,64.907
75,40.176
76,40.436
79,48.873
86,66.972
90,63.163
96,80.871
97,43.183
124,37.5
126,43.293
128,65.749
136,99.775
140,60.859
144,41.523
149,80.708
155,40.133
163,32.412
191,55.23
194,90.276
196,85.575
197,81.489
6,1.107
152,1.434
157,1.644
7,88.253
10,64.893
11,56.438
36,68.362
49,81.712
55,69.489
56,72.648
61,74.401
67,68.65
69,91.242
70,92.999
71,65.73
72,29.416
83,89.924
87,62.448
93,69.518
94,67.558
111,79.74
112,67.185
113,41.905
114,84.164
122,88.65
125,72.777
127,71.06
129,61.486
130,78.535
141,62.263
146,68.539
151,60.108
158,91.292
161,72.112
164,89.266
170,86.285
177,55.156
178,79.275
185,43.485
190,70.748
192,88.739
193,68.513
195,82.096
89,51.903
110,84.491
118,76.418
121,78.199
142,71.598
174,86.356
9,49.448
23,40.342
32,82.108
38,46.126
80,45.361
116,45.074
117,37.769
135,85.693
137,44.194
139,46.068
162,47.119
179,82.175
12,60.61
18,75.768
31,58.379
25,14.477
92,9.175
148,8.372
186,41.555
15,22.711
16,24.147
48,22.26
91,54.055
105,86.48
107,79.633
17,9.306
62,72.62
50,64.829
88,72.233
183,78.996
184,51.009
20,35.051
22,59.908
43,70.132
182,64.468
198,32.731
30,1.434
34,16.15
106,79.547
123,79.62
33,76.487
40,76.479
44,78.01
58,75.164
63,76.082
64,75.407
65,78.147
66,74.835
109,77.087
119,24.299
134,31.12
68,47.479
166,46.585
187,52.854
37,9.258
133,11.691
180,4.336
39,13.868
181,13.096
41,20.738
45,22.366
59,37.574
82,30.073
143,47.557
47,7.522
52,27.6
188,29.241
84,42.59
175,50.453
120,1.94
145,6.459
160,5.13
165,2.876
