Node,SIR
1,275.174
2,267.964
3,357.1
4,222.255
428,257.956
435,153.024
436,149.529
437,217.531
438,213.496
432,384.353
458,294.594
459,301.505
460,334.535
478,215.676
523,146.492
5,143.782
6,101.509
7,177.556
8,176.177
9,120.497
3644,104.024
3680,71.782
3397,235.024
3751,95.71
3830,54.265
10,55.361
11,130.97
3454,94.212
3535,154.718
12,9.227
13,19.33
4935,11.947
4936,29.912
14,113.019
15,191.394
115,156.455
119,144.26
125,211.549
171,97.349
173,104.61
174,166.56
175,146.018
16,92.113
17,102.575
18,104.905
32,71.333
33,99.715
34,68.239
35,133.126
47,116.2
19,132.874
20,229.386
21,157.573
22,430.469
23,362.112
24,311.456
25,316.096
26,494.254
27,351.802
28,453.665
131,335.93
132,211.489
106,289.695
67,475.384
198,533.268
205,286.378
226,470.291
31,407.334
61,454.701
29,370.621
30,434.428
59,435.688
60,413.371
99,305.943
177,390.605
178,276.613
179,445.76
36,50.766
37,46.692
38,66.406
39,58.669
96,170.203
167,81.598
44,91.842
68,42.187
117,60.277
40,113.023
41,116.211
42,138.105
43,185.709
190,190.03
45,270.26
163,286.147
245,272.964
255,208.223
46,83.003
48,60.418
111,195.965
65,44.678
49,244.102
50,452.689
110,534.062
127,488.24
51,222.408
52,376.833
55,369.916
153,305.316
168,315.934
530,286.465
540,313.209
53,234.61
54,173.148
116,216.186
218,214.729
4523,243.03
56,173.72
57,234.177
58,135.381
93,276.605
95,189.936
128,178.131
222,189.699
62,251.572
71,452.891
63,59.121
64,67.65
231,81.608
66,278.131
94,379.087
126,423.741
154,272.955
166,350.975
184,329.686
185,295.777
69,368.116
70,411.331
107,294.172
210,249.715
84,373.621
189,241.156
196,302.98
72,165.6
73,197.016
74,203.702
130,304.551
77,291.434
193,161.969
75,202.085
76,210.661
235,220.359
78,141.862
79,268.016
80,379.539
81,190.829
82,359.025
83,441.217
85,318.922
91,182.305
86,221.888
87,219.782
88,202.003
89,328.751
90,292.826
134,306.658
137,227.661
139,428.643
142,395.713
143,360.139
144,320.826
101,214.094
102,203.677
103,291.366
105,359.609
192,275.484
236,176.332
92,220.78
227,357.543
97,243.677
98,307.271
263,98.194
211,270.194
228,320.146
100,250.663
160,274.001
237,129.589
239,158.336
104,331.279
194,308.577
248,204.442
249,189.808
250,244.704
251,286.87
159,254.748
108,248.429
188,188.491
109,338.099
169,353.598
602,556.111
611,574.022
4510,332.34
191,164.19
112,166.286
113,167.067
114,161.271
183,150.299
200,175.688
201,119.086
121,209.165
124,157.785
150,259.535
118,85.292
161,112.754
120,125.585
122,171.611
123,178.112
165,351.556
219,296.319
2567,395.947
129,208.826
212,222.206
234,158.623
133,199.815
135,196.844
136,178.182
140,249.113
141,308.123
138,243.062
145,545.6
1048,232.72
1115,154.967
1147,287.18
4896,188.975
4901,191.332
4916,198.31
1079,358.561
1096,310.25
1142,238.786
1143,252.877
1144,220.149
1145,228.669
1146,245.172
1041,361.686
1062,285.071
1148,326.0
2451,294.674
197,526.727
199,620.869
146,87.05
147,134.877
148,101.717
155,154.097
157,118.199
223,103.502
264,65.637
149,260.45
151,308.958
152,239.727
202,368.117
259,214.453
176,285.619
156,260.111
158,128.624
242,158.859
240,193.13
241,186.81
162,162.602
164,244.641
1095,206.451
262,57.038
265,61.71
170,275.441
172,70.011
244,190.151
260,225.741
535,336.696
547,241.612
180,514.226
213,291.778
214,304.408
215,298.107
216,313.016
217,489.361
181,127.943
182,123.71
186,317.318
221,192.872
187,383.47
256,103.047
257,90.121
258,107.142
232,222.917
233,159.73
220,154.081
195,253.546
1045,221.835
1117,197.545
206,307.222
207,331.956
208,569.048
247,358.259
651,648.292
964,543.171
4257,523.956
203,331.238
549,306.55
3892,281.104
204,168.672
571,588.108
209,137.987
542,490.066
4245,456.808
268,132.358
224,95.68
225,121.2
243,134.851
266,101.521
229,290.454
230,193.451
4897,191.843
267,135.437
238,90.532
252,105.644
253,105.414
246,122.985
1061,264.238
1100,231.573
1105,265.746
261,85.694
254,128.904
269,190.798
270,185.788
271,260.123
272,126.369
310,160.811
311,150.109
315,214.116
316,151.127
317,99.284
377,261.391
399,346.528
273,186.499
274,275.502
275,161.989
276,151.352
277,316.244
278,153.036
279,277.702
410,169.642
393,151.133
421,86.791
322,325.123
323,295.483
330,336.195
388,204.681
396,227.245
405,88.2
406,101.435
280,171.458
281,265.428
282,108.59
283,295.652
284,159.607
285,133.935
286,230.234
287,221.434
334,79.445
363,75.104
411,99.008
306,304.101
319,252.898
369,294.238
372,183.399
373,275.638
288,172.396
289,170.245
290,180.829
365,145.776
386,180.695
398,172.453
291,142.49
292,214.762
293,151.872
298,251.625
367,207.396
412,118.451
354,187.286
423,81.54
294,100.549
295,168.819
296,242.572
301,155.382
297,264.809
299,189.106
300,181.548
309,266.882
325,144.645
326,215.206
327,186.273
328,219.097
381,157.993
424,136.368
321,177.464
407,90.267
302,95.598
303,191.387
304,310.653
305,306.192
307,273.124
308,314.395
368,301.118
390,179.677
370,281.962
371,284.394
312,159.676
313,128.978
314,150.308
401,126.862
318,165.159
4466,157.23
320,299.018
374,438.927
329,252.535
324,91.415
331,215.79
341,151.945
342,149.084
332,89.628
333,104.996
335,74.167
336,79.666
337,44.073
338,128.054
339,58.262
340,78.102
350,64.355
418,47.967
346,68.545
347,61.545
343,98.584
344,138.575
345,106.203
402,130.534
4440,139.6
4485,60.32
348,14.709
349,24.911
384,17.127
385,26.196
391,11.919
351,73.272
352,125.218
353,72.485
415,48.982
356,125.599
380,125.491
355,77.614
357,78.921
358,94.027
360,79.165
361,77.475
362,109.559
359,41.733
403,77.438
364,55.599
366,155.504
397,99.672
387,149.1
1268,378.469
1422,630.802
375,109.975
376,194.838
378,199.158
413,144.581
4494,202.451
4495,238.837
4499,120.435
4505,125.017
379,77.922
382,12.229
383,12.329
408,14.519
389,107.74
392,102.504
394,61.126
395,53.161
419,94.6
420,87.929
4504,39.931
404,71.874
400,466.723
1161,527.841
1167,391.449
1259,475.619
1355,293.371
1357,291.134
4443,145.565
4444,146.639
422,55.776
409,12.971
416,49.395
417,63.577
414,90.963
4500,52.512
425,310.016
426,393.302
427,235.349
429,264.944
430,270.686
431,212.244
433,398.097
434,374.64
508,218.508
489,246.555
485,305.588
454,372.664
455,379.92
452,369.303
465,369.572
504,356.203
505,251.572
2457,247.337
439,166.755
440,234.649
449,216.267
492,219.616
496,233.129
509,166.873
441,240.616
442,203.366
443,320.586
467,346.1
892,254.772
2294,266.614
2393,200.734
2399,214.651
2406,218.361
2424,250.832
2434,289.159
2436,257.118
2437,222.918
444,158.763
445,301.541
446,341.071
447,212.521
448,222.465
450,360.464
451,264.009
453,311.76
456,167.708
457,203.655
475,234.865
468,217.105
469,234.668
470,313.603
471,335.68
472,321.821
474,233.126
486,260.245
502,300.791
510,239.133
461,223.762
462,230.254
463,221.063
464,199.414
466,263.741
2315,305.219
2316,336.185
2317,368.267
2328,380.997
2329,355.134
518,107.835
476,210.137
479,206.142
498,280.564
903,254.865
2326,339.566
2439,324.424
2495,275.056
2299,210.286
2309,168.856
2341,203.428
480,202.102
481,365.691
513,207.983
514,199.237
515,385.344
499,323.584
516,239.89
473,149.295
511,142.534
512,216.168
477,134.334
521,138.359
1517,535.538
1548,197.186
482,75.373
