Node,SIR
1,1.44
2,2.8
3,5.62
4,6.43
5,10.19
6,1.32
7,29.47
8,25.68
9,1.46
10,16.77
11,86.88
12,72.42
13,85.66
14,19.05
15,3.54
16,7.2
17,17.42
18,56.71
19,2.96
20,19.0
21,4.03
22,1.92
23,3.06
24,2.76
25,3.74
26,12.5
27,9.28
28,1.93
29,1.5
30,58.86
31,93.86
32,19.28
33,36.49
34,1.4
35,34.61
36,21.15
37,3.23
38,1.28
39,4.67
40,10.16
41,33.25
42,1.19
43,3.51
44,1.24
45,36.04
46,6.52
47,10.82
48,10.52
49,1.52
50,53.71
51,12.23
52,3.93
53,5.3
54,80.06
55,18.64
56,57.14
57,21.47
58,1.08
59,4.96
60,17.17
61,2.96
62,11.83
63,81.96
64,1.67
65,1.14
66,23.34
67,93.69
68,20.02
69,2.41
70,63.79
71,5.69
72,2.76
73,10.79
74,1.98
75,1.63
76,8.61
77,4.35
78,2.04
79,31.37
80,20.5
81,5.99
82,8.91
83,51.36
84,2.57
85,13.5
86,2.53
87,15.96
88,1.26
89,7.55
90,2.91
91,5.34
92,79.56
93,19.55
94,3.51
95,1.4
96,2.69
97,3.15
98,1.08
99,13.27
100,1.4
101,16.39
102,2.64
103,6.66
104,2.4
105,5.7
106,5.86
107,2.57
108,42.45
109,4.69
110,12.69
111,3.99
112,1.77
113,6.04
114,16.57
115,14.8
116,5.78
117,9.01
118,87.37
119,1.35
120,2.7
121,16.89
122,48.58
123,89.32
124,40.79
125,51.21
126,2.72
127,3.1
128,1.06
129,3.9
130,4.96
131,4.04
132,21.72
133,29.31
134,9.33
135,13.52
136,42.96
137,3.79
138,1.06
139,1.1
140,14.44
141,37.36
142,77.34
143,48.57
144,3.4
145,2.53
146,8.58
147,43.08
148,47.3
149,7.71
150,83.21
151,10.08
152,4.92
153,32.67
154,6.3
155,12.08
156,5.24
157,29.54
158,10.32
159,83.41
160,12.18
161,9.78
162,3.18
163,7.85
164,44.67
165,10.02
166,37.31
167,1.65
168,45.39
169,1.13
170,1.2
171,21.35
172,7.75
173,29.89
174,10.25
175,49.63
176,8.11
177,24.37
178,3.89
179,1.11
180,1.11
181,41.55
182,2.68
183,1.15
184,13.93
185,4.03
186,2.09
187,4.34
188,55.14
189,30.6
190,3.45
191,9.87
192,1.42
193,9.69
194,38.21
195,1.39
196,93.09
197,40.88
198,13.46
199,28.86
200,6.73
201,35.32
202,15.42
203,1.09
204,40.96
205,3.2
206,62.14
207,21.41
208,29.83
209,27.41
210,7.09
211,11.42
212,6.98
213,1.28
214,10.99
215,2.74
216,48.5
217,2.94
218,1.16
219,13.78
220,2.44
221,9.28
222,31.29
223,4.26
224,12.94
225,2.61
226,2.11
227,2.14
228,25.6
229,17.95
230,22.49
231,23.35
232,2.71
233,14.72
234,26.75
235,16.34
236,3.89
237,1.06
238,1.14
239,13.99
240,23.27
241,1.63
242,1.14
243,3.28
244,80.8
245,70.83
246,45.37
247,38.22
248,2.41
249,1.16
250,2.59
251,2.71
252,79.98
253,31.04
254,3.02
255,37.27
256,49.66
257,37.79
258,1.18
259,1.15
