Node,SIR
1,108.74
1010,35.42
1023,22.12
1085,20.34
1156,77.24
1173,16.71
1189,70.43
1333,41.44
1404,53.53
1415,69.93
1456,19.46
1457,22.92
1489,28.34
1667,83.39
183,15.62
2,76.99
2053,16.55
2067,15.25
2080,23.52
2081,36.76
2300,20.46
2326,25.9
2499,12.13
2663,20.7
2738,15.31
2915,9.66
306,121.3
321,27.47
33,10.25
331,88.73
37,120.15
40,107.86
428,118.87
593,56.52
687,31.31
7,55.35
724,39.57
749,32.64
841,19.24
852,77.31
872,73.8
918,72.13
927,23.11
930,78.34
947,92.85
962,19.93
103,27.48
1417,18.29
1777,7.33
2072,31.03
2171,44.9
2241,13.81
268,38.1
2681,3.91
307,45.91
363,73.96
527,95.09
604,70.39
84,58.82
885,26.81
3,22.62
1160,3.94
1329,4.54
1872,3.83
2259,11.89
4,1.14
417,11.86
574,1.29
756,14.9
879,37.42
965,55.05
5,5.19
6,27.03
9,84.95
1120,41.92
1493,28.6
201,30.82
817,104.84
823,9.86
846,36.69
888,94.46
1944,4.67
212,48.22
777,36.62
8,6.6
1076,26.48
1089,45.55
1104,47.5
1245,21.76
1291,38.63
1334,12.05
1359,48.53
1424,23.96
1434,14.52
1609,16.32
197,65.05
2089,22.96
2191,37.31
2214,18.7
2597,19.63
2633,22.53
558,25.75
889,176.44
938,50.96
10,45.22
11,4.4
12,16.8
127,78.42
2740,1.96
505,20.93
631,155.43
798,6.2
82,20.55
188,71.68
796,134.67
13,7.17
1026,17.95
14,25.86
2407,17.8
450,1.4
592,34.76
684,6.62
110,71.48
1384,26.17
1684,7.08
1808,18.42
2083,19.05
929,52.14
15,233.97
1005,35.96
1018,83.7
1040,98.4
1056,67.79
1057,126.69
106,35.62
1067,69.49
107,146.78
1100,104.53
1129,32.76
1136,55.35
1141,15.14
1145,50.9
1152,119.44
1169,73.8
1211,27.24
1219,37.89
122,196.11
1243,37.16
1272,30.05
1277,119.13
1343,36.72
1350,70.21
1372,19.82
1393,34.9
141,92.83
1425,66.77
